Image,Article,Colour,Size,Pair,Price,Rate List Price,Thumbnail,OCR JSON
"IMG-20251003-WA0074.jpg","Rocks","Wt/Tan","6/9-7/10","24","","","",""
"IMG-20251003-WA0075.jpg","Rocks","Wt/MHD","6/9-7/10","24","","","",""
"IMG-20251003-WA0076.jpg","Rocks-06","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0077.jpg","Rocks","White","6/9-7/10","24","","","",""
"IMG-20251003-WA0078.jpg","Rocks","Wt/Red/Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0079.jpg","Rocks","Wt/Red","6/9-7/10","24","","","",""
"IMG-20251003-WA0080.jpg","Rocks-03","White/Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0081.jpg","Rocks","White","6/9-7/10","24","","","",""
"IMG-20251003-WA0082.jpg","Artical","White/Red","6x9 7x10","24","","","",""
"IMG-20251003-WA0083.jpg","Rocks","Navy/Sky","6/9-7/10","24","","","",""
"IMG-20251003-WA0084.jpg","Rocks","Gry/Perpal","6/9-7/10","24","","","",""
"IMG-20251003-WA0085.jpg","Rocks","JAS","6/9-7/10","JAS","","","",""
"IMG-20251003-WA0086.jpg","Rocks","Wt/Blue/Gry","6/9-7/10","24","","","",""
"IMG-20251003-WA0087.jpg","Tesl-02","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0088.jpg","Tesls-03","White","6x9 7x10","24","","","",""
"IMG-20251003-WA0089.jpg","tivo","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0090.jpg","Texla","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0091.jpg","Tesla","L.Grey","6x9 7x10","8","","","",""
"IMG-20251003-WA0092.jpg","Tesla","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0093.jpg","Testa","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0094.jpg","Tesia-02","None","6x9 7x10","9","","","",""
"IMG-20251003-WA0095.jpg","Tesla-03-","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0096.jpg","Ford","Navy","6/9-7/10","24","","","",""
"IMG-20251003-WA0097.jpg","Ford-01","L.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0098.jpg","Ford 09","L.Gray","6*9 7*10","24","","","",""
"IMG-20251003-WA0099.jpg","Ford","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0100.jpg","Ford-01","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0101.jpg","Ford-02","Navy","6x9 7x10","6","","","",""
"IMG-20251003-WA0102.jpg","None","Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0103.jpg","Ford","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0104.jpg","Ford 5","Navy","6*9 7*10","24","","","",""
"IMG-20251003-WA0105.jpg","Ford","Lgry","6/9-7/10","24","","","",""
"IMG-20251003-WA0106.jpg","Thar-05","L.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0107.jpg","Thar","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0108.jpg","Thar-05","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0109.jpg","Thar","Wt/Navy","6/9-7/10","24","","","",""
"IMG-20251003-WA0110.jpg","Thar","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0111.jpg","Thar-07","White/Grey","6x9 7x10","07","","","",""
